MIDAS ID, Legacy MIDAS ID, Site Name,,,,,,,,
F32835C18465441180A2A3E693CCDD27,30022731,MIDAS site at M25/4883A priority 1 on link 199131002; GPS Ref: 502104;172197; Clockwise,,,,,,,,
,,,,,,,,,,
Local Date, Local Time, Day Type ID, Total Carriageway Flow, Total Flow vehicles less than 5.2m, Total Flow vehicles 5.21m - 6.6m, Total Flow vehicles 6.61m - 11.6m, Total Flow vehicles above 11.6m, Speed Value, Quality Index, NTIS Model Version
2019/8/1,0:14:00,9,222,127,33,23,39,103.2,15,10
2019/8/1,0:29:00,9,216,120,35,19,42,105.17,15,10
2019/8/1,0:44:00,9,215,111,43,12,49,102.94,15,10
2019/8/1,0:59:00,9,185,90,40,19,36,103.87,15,10
2019/8/1,1:14:00,9,180,84,38,26,32,104.58,15,10
2019/8/1,1:29:00,9,176,77,33,23,43,100.33,15,10
2019/8/1,1:44:00,9,199,94,32,25,48,102.71,15,10
2019/8/1,1:59:00,9,186,89,36,22,39,103.85,15,10
2019/8/1,2:14:00,9,164,76,33,18,37,103.76,15,10
2019/8/1,2:29:00,9,199,93,25,32,49,102.5,15,10
2019/8/1,2:44:00,9,173,59,26,33,55,100.32,15,10
2019/8/1,2:59:00,9,191,96,26,15,54,100.97,15,10
2019/8/1,3:14:00,9,167,63,20,24,60,100.95,15,10
2019/8/1,3:29:00,9,200,88,27,27,58,102.78,15,10
2019/8/1,3:44:00,9,224,117,28,27,52,103.29,15,10
2019/8/1,3:59:00,9,242,133,27,27,55,103.88,15,10
2019/8/1,4:14:00,9,304,163,53,24,64,104.37,15,10
2019/8/1,4:29:00,9,313,156,57,23,77,103.59,15,10
2019/8/1,4:44:00,9,372,219,54,32,67,104.16,15,10
2019/8/1,4:59:00,9,511,324,77,41,69,105.63,15,10
2019/8/1,5:14:00,9,601,388,94,45,74,106.08,15,10
2019/8/1,5:29:00,9,775,545,118,40,72,107.48,15,10
2019/8/1,5:44:00,9,950,662,120,54,114,105.88,15,10
2019/8/1,5:59:00,9,1127,747,209,72,99,107.53,15,10
2019/8/1,6:14:00,9,1276,873,221,82,100,106.15,15,10
2019/8/1,6:29:00,9,1642,1110,314,112,106,102.87,15,10
2019/8/1,6:44:00,9,1748,1163,371,122,92,100.68,15,10
2019/8/1,6:59:00,9,1777,1231,355,105,86,99.89,15,10
2019/8/1,7:14:00,9,1805,1262,362,102,79,100.48,15,10
2019/8/1,7:29:00,9,1701,1182,322,114,83,100.09,15,10
2019/8/1,7:44:00,9,1833,1275,336,116,106,98.68,15,10
2019/8/1,7:59:00,9,1665,1168,305,105,87,99.44,15,10
2019/8/1,8:14:00,9,1686,1205,296,93,92,99.03,15,10
2019/8/1,8:29:00,9,1720,1213,281,101,125,97.16,15,10
2019/8/1,8:44:00,9,1694,1201,274,109,110,99.91,15,10
2019/8/1,8:59:00,9,1576,1085,288,102,101,100.52,15,10
2019/8/1,9:14:00,9,1455,982,252,109,112,101.29,15,10
2019/8/1,9:29:00,9,1510,989,280,117,124,100.83,15,10
2019/8/1,9:44:00,9,1505,997,298,99,111,88.4,15,10
2019/8/1,9:59:00,9,1571,1011,332,114,114,85.95,15,10
2019/8/1,10:14:00,9,1435,954,253,95,133,100,15,10
2019/8/1,10:29:00,9,1452,975,261,98,118,99.85,15,10
2019/8/1,10:44:00,9,1309,898,200,96,115,102.03,15,10
2019/8/1,10:59:00,9,1247,822,228,109,88,101.67,15,10
2019/8/1,11:14:00,9,1506,931,323,124,128,99.14,15,10
2019/8/1,11:29:00,9,1502,956,272,146,128,77.97,15,10
2019/8/1,11:44:00,9,1389,899,239,134,117,85.17,15,10
2019/8/1,11:59:00,9,1319,856,241,113,109,51.17,15,10
2019/8/1,12:14:00,9,1041,610,215,96,120,29.78,15,10
2019/8/1,12:29:00,9,1179,688,261,124,106,32.63,15,10
2019/8/1,12:44:00,9,1146,697,205,113,131,34.33,15,10
2019/8/1,12:59:00,9,950,543,180,121,106,26.94,15,10
2019/8/1,13:14:00,9,1112,673,223,127,89,32.52,15,10
2019/8/1,13:29:00,9,1010,561,224,131,94,26.13,15,10
2019/8/1,13:44:00,9,1100,627,231,145,97,30.58,15,10
2019/8/1,13:59:00,9,962,559,209,90,104,24.31,15,10
2019/8/1,14:14:00,9,965,554,200,108,103,25.68,15,10
2019/8/1,14:29:00,9,942,577,174,95,96,22.88,15,10
2019/8/1,14:44:00,9,868,506,153,110,99,24.41,15,10
2019/8/1,14:59:00,9,1009,628,207,92,82,57.58,15,10
2019/8/1,15:14:00,9,1060,671,203,101,85,67.55,15,10
2019/8/1,15:29:00,9,1121,690,241,102,88,59.74,15,10
2019/8/1,15:44:00,9,914,523,198,111,82,23.46,15,10
2019/8/1,15:59:00,9,818,476,161,96,85,18.48,15,10
2019/8/1,16:14:00,9,965,594,211,80,80,19.92,15,10
2019/8/1,16:29:00,9,714,442,142,68,62,17.26,15,10
2019/8/1,16:44:00,9,1023,656,217,80,70,42.95,15,10
2019/8/1,16:59:00,9,875,548,186,78,63,31.07,15,10
2019/8/1,17:14:00,9,952,592,240,68,52,53.32,11,10
2019/8/1,17:29:00,9,979,646,208,65,60,79.95,15,10
2019/8/1,17:44:00,9,1019,668,199,75,77,79.9,15,10
2019/8/1,17:59:00,9,978,652,199,84,43,55.19,15,10
2019/8/1,18:14:00,9,949,631,196,70,52,76.53,15,10
2019/8/1,18:29:00,9,987,687,175,66,59,83.72,15,10
2019/8/1,18:44:00,9,1084,796,172,48,68,91.59,15,10
2019/8/1,18:59:00,9,1133,813,199,62,59,96.41,15,10
2019/8/1,19:14:00,9,1104,790,184,56,74,100.3,15,10
2019/8/1,19:29:00,9,1150,847,174,56,73,105.82,15,10
2019/8/1,19:44:00,9,1095,794,181,58,62,106.96,15,10
