TMU ID, Legacy TMU ID, Site Name,,,,,,,,
C6E971CAD3C6789BE0433CC411ACCCEA,30015880,TMU Site 7044/1 on A3113 eastbound between M25 and A3044; GPS Ref: 504388;175287; Eastbound,,,,,,,,
,,,,,,,,,,
Local Date, Local Time, Day Type ID, Total Carriageway Flow, Total Flow vehicles less than 5.2m, Total Flow vehicles 5.21m - 6.6m, Total Flow vehicles 6.61m - 11.6m, Total Flow vehicles above 11.6m, Speed Value, Quality Index, NTIS Model Version
2019/8/1,0:14:00,9,37,19,4,2,12,82.28,15,10
2019/8/1,0:29:00,9,35,22,1,2,10,79.77,15,10
2019/8/1,0:44:00,9,29,17,2,5,5,79.44,15,10
2019/8/1,0:59:00,9,23,13,2,2,6,77.07,15,10
2019/8/1,1:14:00,9,17,9,2,2,4,77.83,15,10
2019/8/1,1:29:00,9,23,5,3,7,8,74.58,15,10
2019/8/1,1:44:00,9,21,7,2,6,6,78.34,15,10
2019/8/1,1:59:00,9,26,11,3,3,9,78.61,15,10
2019/8/1,2:14:00,9,25,13,3,3,6,75.42,15,10
2019/8/1,2:29:00,9,18,10,2,2,4,75.29,15,10
2019/8/1,2:44:00,9,25,11,4,2,8,77.82,15,10
2019/8/1,2:59:00,9,24,13,2,2,7,77.7,15,10
2019/8/1,3:14:00,9,30,16,2,2,10,77.08,15,10
2019/8/1,3:29:00,9,43,26,1,3,13,81.03,15,10
2019/8/1,3:44:00,9,56,34,3,7,12,78.86,15,10
2019/8/1,3:59:00,9,65,53,1,4,7,81.87,15,10
2019/8/1,4:14:00,9,57,43,3,2,9,80.41,15,10
2019/8/1,4:29:00,9,82,64,7,4,7,81.14,15,10
2019/8/1,4:44:00,9,123,96,12,5,10,80.54,15,10
2019/8/1,4:59:00,9,147,129,6,8,4,85.44,15,10
2019/8/1,5:14:00,9,143,121,8,7,7,84.65,15,10
2019/8/1,5:29:00,9,198,173,10,10,5,85.87,15,10
2019/8/1,5:44:00,9,258,225,8,10,15,86.03,15,10
2019/8/1,5:59:00,9,283,237,12,15,19,86.61,15,10
2019/8/1,6:14:00,9,300,256,13,19,12,85.82,15,10
2019/8/1,6:29:00,9,368,324,21,11,12,85.99,15,10
2019/8/1,6:44:00,9,406,340,31,20,15,83.83,15,10
2019/8/1,6:59:00,9,439,373,23,24,19,84.29,15,10
2019/8/1,7:14:00,9,476,405,31,27,13,81.82,15,10
2019/8/1,7:29:00,9,438,365,30,29,14,84.93,15,10
2019/8/1,7:44:00,9,508,440,33,24,11,82.8,15,10
2019/8/1,7:59:00,9,462,388,30,20,24,81.96,15,10
2019/8/1,8:14:00,9,443,374,20,29,20,80.46,15,10
2019/8/1,8:29:00,9,440,374,36,20,10,81.92,15,10
2019/8/1,8:44:00,9,488,420,32,20,16,81.61,15,10
2019/8/1,8:59:00,9,423,350,35,23,15,83.13,15,10
2019/8/1,9:14:00,9,346,281,30,24,11,84.63,15,10
